Singular,Plural,Artikel,Bedeutung,Plural Regel,Lektion
Abend,Abende,der,Tarda,-e,4
Abfalleimer,Abfalleimer,der,Paperera,=,2
Angst,Ängste,die,Por,¨-e,6
Ansichtskarte,Ansichtskarten,die,Postal,-n,4
Apotheke,Apotheken,die,farmàcia,-n,6
Appartement,Appartements,das,Apartament,-s,5
Arbeit,-,die,Treball,None :(,4
Arbeitszimmer,Arbeitszimmer,das,Despatx,=,5
Artz,Ärtze,der,Metge,¨-e,1
Aufschnitt,Aufschnitte,der,Embotit,-e,3
Aufzug,Aufzüge,der,Ascensor,¨-e,5
Auge,Augen,das,Ull,-n,6
Ausflug,Ausflüge,der,Excursió,¨-e,4
Ausländer,Ausländer,der,Estranger,=,1
Auto,Autos,das,Cotxe,-s,2
Bad,Bader,das,Lavabo,-er,5
Bahnhof,Bahnhöfe,der,Estació,¨-e,6
Balkon,Balkons,der,Balcó,-s/-e,5
Bank,Banken,die,Banc,-en,4
Bar,Bars,die,Bar,-s,4
Batterie,Batterien,die,Piles,-n,2
Bauch,Bäuche,der,Panxa,¨-e,6
Bein,Beine,das,Cama,-e,6
Beispiel,Beispiele,das,Exemple,-e,6
Beruf,Berufe,der,Treball,-e,1
Bibliothek,Bibliotheken,die,Biblioteca,-en,4
Bier,Biere,das,Cervesa,-e,3
Bild,Bilder,das,Quadre,-er,2
Brombeere,Brombeeren,die,Zarzamora,-n,3
Brot,Brote,das,Pa,-e,3
Brust,-,die,Pit,None :(,6
Brötchen,Brötchen,das,Panet,=,3
Buch,Bücher,das,Llibre,¨-er,4
Butter,-,die,Mantega,None :(,3
Bäcker,Bäcker,der,Panadero,=,4
Café,Cafés,das,Cafeteria,-s,4
Chef,Chefs,der,Jefe,-s,6
Chefin,Chefinnen,die,Jefa,-nen,6
Cola,Colas,die,Coca-cola,-s,3
Dach,Dächer,das,Teulada,¨-er,5
Diskothek,Diskotheken,die,Discoteca,-en,4
Doktor,Doktoren,der,Doctor,-en,6
Donnerstag,-,der,Dijous,None :(,4
Dose,Dosen,die,Llauna,-n,3
Dreck,-,der,Brutícia,None :(,5
Drittel,Drittel,das,Terç,=,6
Drogerie,Drogerien,die,Drogueria,-n,6
Durchfall,-,der,Diarrea,None :(,6
Dusche,Duschen,die,Dutxa,-n,4
Ehepaar,Ehepaare,das,Matrimoni,-e,5
Ei,Eier,das,Ou,-er,3
Einkommen,Einkommen,das,Sou,=,5
Eintritt,-,der,Entrada,None :(,4
Eis,-,das,Gelat,None :(,3
Elektroherd,Elektroherde,der,Cuina elèctrica,-e,2
Ende,-,das,Final,None :(,5
Erdbeere,Erdbeeren,die,Maduixa,-n,3
Erdgeschoss,Erdgeschosse,das,Planta baixa,-e,5
Erkältung,Erkältungen,die,Refredat,-en,6
Erlaubnis,-,die,Permís,None :(,5
Essen,-,das,Menjar,None :(,4
Esszimmer,Esszimmer,das,Menjador,=,3
Familie,Familien,die,Família,-n,5
Fenster,Fenster,das,Finestra,=,5
Fernsehapparat,Fernsehapparate,der,TV,-e,2
Fernsehen,-,das,TV,None :(,4
Fieber,-,das,Febre,None :(,4
Film,Filme,der,Peli,-e,4
Fisch,Fische,der,Peix,-e,3
Flasche,Flaschen,die,Ampolla,-n,3
Fleisch,-,das,Carn,None :(,3
Flur,Flure,der,Passadís,-e,5
Foto,Fotos,das,Foto,-s,2
Frage,Fragen,die,Pregunta,-n,6
Frau,Frauen,die,Dona,-en,1
Freitag,-,der,Divendres,None :(,4
Freizeit,-,die,Temps lliure,None :(,4
Friseur,Friseure,der,Perruquer,-e,4
Friseurin,Friseurinnen,die,Perruquera,-nen,4
Fuß,Füße,der,Peu,¨-e,6
Fußball,-,der,Fútbol,None :(,6
Fußboden,Fußböden,der,Terra,ö,5
Gabel,Gabeln,die,Forquilla,-n,3
Garage,Garagen,die,Garatge,-n,5
Garderobe,Garderoben,die,Guardaroba,-n,5
Garten,Gärten,der,Jardí,ä,5
Gast,Gäste,der,Convidat,¨-er,4
Gemüse,-,das,Verdures,None :(,3
Geschichte,Geschichten,die,Història,-n,6
Geschirrspüler,Geschirrspüler,die,Rentaplats,=,2
Gesundheit,-,die,Salut,None :(,6
Glas,Gläser,das,Got,¨-er,3
Glück,-,das,Sort,None :(,5
Glühbirne,Glühbirnen,die,Bombeta,-n,2
Grad,Grade,das,Grau,-e,6
Grippe,-,die,Grip,None :(,6
Gruß,Grüße,der,Saludo,¨-er,4
Hals,Hälse,der,Coll,¨-e,6
Hamburger,Hamburger,der,Hamburguesa,=,3
Hand,Hände,die,Mà,¨-e,6
Handschuh,Handschuhe,der,Guant,-e,6
Handy,Handys,das,Mòbil,-s,2
Himbeere,Himbeeren,die,Gerd,-n,3
Hobby,Hobbys,das,Hobby,-s,1
Hochhaus,Hochhäuser,das,Gratacels,¨-er,5
Hof,Höfe,der,Pati,¨-e,5
Hotel,Hotels,das,Hotel,-s,5
Husten,-,der,Tos,None :(,6
Hähnchen,Hähnchen,das,Pollastre,=,3
Industrie,Industrien,die,Indústria,-n,5
Insel,Inseln,die,Illa,-n,5
Johannisbeere,Johannisbeeren,die,Grosella,-n,3
Juli,-,der,Juliol,None :(,4
Junge,Jungen,der,Noi,-en,2
Kaffee,Kaffees,der,Cafè,-s,3
Kamera,Kameras,die,Càmera,-s,2
Kartoffel,Kartoffeln,die,Patata,-n,3
Keller,Keller,der,Soterrani,=,5
Kellner,Kellner,der,Cambrer,=,4
Kellnerin,Kellnerinnen,die,Cambrera,-nen,4
Ketchup,Ketchups,das,Ketchup,-s,3
Kind,Kinder,das,Nen,-er,1
Kino,Kinos,das,Cine,-s,4
Kiosk,Kioske,der,Quiosc,-e,5
Kirsche,Kirschen,die,Cirera,-n,3
Klavier,Klaviere,das,Piano,-e,2
Kleid,Kleider,das,Vestit,-er,4
Knie,Knie,das,Genoll,=,6
Kochfeld,Kochfelder,das,Fogó,-er,2
Koffer,Koffer,der,Maleta,=,6
Kollege,Kollegen,der,Company de feina,-n,6
Kollegin,Kolleginnen,die,Companya de feina,-nen,6
